rank,feature,group,mean_abs_shap,pct_of_total,cumulative_pct
228,lacrimal_gland_shape_bb_dx_mm,Lacrimal Gland,0.0004555974381292,0.09227498470696713,99.23868253207723
229,medial_rectus_shape_bb_dz,Medial Rectus,0.0004314902040127,0.0873923965419378,99.32607492861916
230,inferior_rectus_shape_bb_dz,Inferior Rectus,0.0004303842117453,0.0871683930445094,99.41324332166369
231,SmokingIndex,Clinical,0.0004105021280479,0.08314155089049369,99.49638487255416
232,optic_nerve_shape_bb_dz_mm,Optic Nerve,0.0003624191204649,0.07340300010406875,99.56978787265824
233,lacrimal_gland_shape_bb_dz,Lacrimal Gland,0.0003618099248617,0.07327961592702058,99.64306748858526
234,optic_nerve_shape_bb_dz,Optic Nerve,0.0003344682119357,0.0677419286378452,99.71080941722312
235,eyeball_shape_bb_dz,Eyeball,0.0003026261627454,0.06129276023571692,99.77210217745882
236,superior_rectus_shape_bb_dz,Superior Rectus,0.0002670306902662,0.05408338765420562,99.82618556511302
237,LogSmoke,Clinical,0.0002646962055069,0.05361056992645981,99.87979613503948
238,IsSmoker,Clinical,0.000203472369128,0.04121052529766897,99.92100666033716
239,eyeball_shape_bb_dz_mm,Eyeball,0.0002022210007031,0.04095707786226508,99.96196373819942
240,Sex_enc,Clinical,0.0001877997973926,0.03803626180061927,100.00000000000004
